selection_item_type,selection_item_code,language_code,selection_item_name,selection_item_short_name,display_order,remarks
service_contract_status,contract_executed,jpn,契約締結完了,契約締結完了,4,
service_contract_status,contract_cancelled,eng,Contract Cancelled / Rejected,Contract Cancelled / Rejected,5,
service_contract_status,contract_cancelled,jpn,契約取消・却下完了,契約取消・却下完了,5,
service_plan_status,preparing,eng,Preparing,Preparing,1,
service_plan_status,preparing,jpn,準備中,準備中,1,
service_plan_status,active,eng,Active,Active,2,
service_plan_status,active,jpn,稼動中,稼動中,2,
service_plan_status,suspended,eng,Suspended,Suspended,3,
service_plan_status,suspended,jpn,停止中,停止中,3,
service_plan_status,terminated,eng,Terminated,Terminated,4,
service_plan_status,terminated,jpn,終了,終了,4,
service_status,preparing,eng,Preparing,Preparing,1,
service_status,preparing,jpn,準備中,準備中,1,
service_status,active,eng,Active,Active,2,
service_status,active,jpn,稼動中,稼動中,2,
service_status,suspended,eng,Suspended,Suspended,3,
service_status,suspended,jpn,停止中,停止中,3,
service_status,terminated,eng,Terminated,Terminated,4,
service_status,terminated,jpn,終了,終了,4,
service_usage_status,awaiting_activation,eng,Service Activation Awaiting,Activation Awaiting,1,
service_usage_status,awaiting_activation,jpn,サービス利用準備中,利用準備中,1,
service_usage_status,active,eng,Active,Active,2,
service_usage_status,active,jpn,サービス利用中,利用中,2,
service_usage_status,paused,eng,Paused by Client,Paused,3,
service_usage_status,paused,jpn,サービス利用停止中,利用停止中,3,
service_usage_status,suspended,eng,Suspended Due to Issue,Suspended,4,Display in red
service_usage_status,suspended,jpn,サービス利用停止中（疑義あり）,利用停止中（疑義あり）,4,赤字表示
service_usage_status,closed,eng,Closed by Client,Closed,5,
service_usage_status,closed,jpn,サービス利用終了,利用終了,5,
service_usage_status,terminated,eng,Terminated Due to Issue,Terminated,6,Display in red
service_usage_status,terminated,jpn,サービス利用終了（疑義あり）,利用終了（疑義あり）,6,赤字表示
user_status,active,eng,Active,Active,1,
user_status,active,jpn,利用中,利用中,1,
user_status,all_paused,eng,All Services Paused by Client,All Paused,2,
user_status,all_paused,jpn,全サービス利用停止中,利用停止中,2,
user_status,all_suspended,eng,All Services Suspended Due to Issue,All Suspended,3,Display in red
user_status,all_suspended,jpn,全サービス利用停止中（疑義あり）,利用停止中（疑義あり）,3,赤字表示
